coverage,deployed_confidence,agreement_baseline,oracle
0.91,0.13997110007954203,0.14597828035236518,0.08627413252111085
0.915,0.13920623068020024,0.145180584831314,0.08887645966580424
0.92,0.14339038654112804,0.14656547295723077,0.09149902549060189
0.925,0.14802070877604084,0.1479353893196241,0.09409323925242875
0.93,0.14722489851380408,0.14752406234171522,0.0969475766758028
0.935,0.14643759959127037,0.14786097278795993,0.10030153579002034
0.94,0.15097782512535934,0.1484042654858963,0.10371938476378163
0.945,0.15410946172711482,0.14973545984840478,0.10798060976022147
0.95,0.1532983592969721,0.1489473784807816,0.11267544865622031
0.955,0.15498044260529392,0.14891549243039603,0.11732112693550711
0.96,0.15608297502228025,0.14987600201843218,0.12191841273271802
0.965,0.1552742549444446,0.15082655813923476,0.1264680582626003
0.97,0.154473872186999,0.15119457702626046,0.13097080023031885
0.975,0.15368169848347593,0.15334962315140052,0.13542736022913773
0.98,0.15289760818509085,0.152992397182941,0.13983844512592786
0.985,0.1546165311066326,0.1553883748622154,0.14420474743493328
0.99,0.156403692950898,0.1551647523180179,0.1485269456802114
0.995,0.15706944770435524,0.1563950801958168,0.15280570474714503
1.0,0.15704167622340923,0.15704167622340914,0.15704167622340928
